Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
360,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.08m,8.74m,-1.62m,-179.98°,90°,0°,-4.084,8.743,1.617,270.02,270,0
412,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.82m,8.74m,-1.62m,-179.98°,90°,0°,-3.817,8.743,1.617,270.02,270,0
464,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.56m,8.74m,-1.62m,-179.98°,90°,0°,-3.557,8.743,1.617,270.02,270,0
516,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.56m,8.74m,-1.62m,-179.98°,90°,0°,-2.56,8.743,1.617,270.02,270,0
568,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.29m,8.74m,-1.62m,-179.98°,90°,0°,-2.293,8.743,1.617,270.02,270,0
620,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.03m,8.74m,-1.62m,-179.98°,90°,0°,-2.033,8.743,1.617,270.02,270,0
672,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.02m,8.74m,-1.62m,-179.98°,90°,0°,-1.019,8.743,1.617,270.02,270,0
724,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
776,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
828,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
880,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.8m,8.74m,-1.62m,-179.98°,90°,0°,0.8,8.743,1.617,270.02,270,0
932,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.06m,8.74m,-1.62m,-179.98°,90°,0°,1.06,8.743,1.617,270.02,270,0
984,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.12m,8.74m,-1.62m,-179.98°,90°,0°,2.119,8.743,1.617,270.02,270,0
1036,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.39m,8.74m,-1.62m,-179.98°,90°,0°,2.386,8.743,1.617,270.02,270,0
1088,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.65m,8.74m,-1.62m,-179.98°,90°,0°,2.646,8.743,1.617,270.02,270,0
1140,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.56m,8.74m,-1.62m,-179.98°,90°,0°,3.56,8.743,1.617,270.02,270,0
1192,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.83m,8.74m,-1.62m,-179.98°,90°,0°,3.827,8.743,1.617,270.02,270,0
1244,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.09m,8.74m,-1.62m,-179.98°,90°,0°,4.087,8.743,1.617,270.02,270,0
1296,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.15m,8.74m,-1.62m,-179.98°,90°,0°,5.153,8.743,1.617,270.02,270,0
1348,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.42m,8.74m,-1.62m,-179.98°,90°,0°,5.42,8.743,1.617,270.02,270,0
1400,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.68m,8.74m,-1.62m,-179.98°,90°,0°,5.68,8.743,1.617,270.02,270,0
1452,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.67m,8.74m,-1.62m,-179.98°,90°,0°,6.668,8.743,1.617,270.02,270,0
1504,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.94m,8.74m,-1.62m,-179.98°,90°,0°,6.935,8.743,1.617,270.02,270,0
1556,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,7.2m,8.74m,-1.62m,-179.98°,90°,0°,7.195,8.743,1.617,270.02,270,0
49,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
101,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.9m,8.74m,-1.62m,-179.98°,90°,0°,-6.896,8.743,1.617,270.02,270,0
153,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.64m,8.74m,-1.62m,-179.98°,90°,0°,-6.636,8.743,1.617,270.02,270,0
205,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.65m,8.74m,-1.62m,-179.98°,90°,0°,-5.65,8.743,1.617,270.02,270,0
257,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.38m,8.74m,-1.62m,-179.98°,90°,0°,-5.383,8.743,1.617,270.02,270,0
309,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.12m,8.74m,-1.62m,-179.98°,90°,0°,-5.123,8.743,1.617,270.02,270,0
361,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.08m,8.74m,-1.62m,-179.98°,90°,0°,-4.084,8.743,1.617,270.02,270,0
413,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.82m,8.74m,-1.62m,-179.98°,90°,0°,-3.817,8.743,1.617,270.02,270,0
465,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.56m,8.74m,-1.62m,-179.98°,90°,0°,-3.557,8.743,1.617,270.02,270,0
517,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.56m,8.74m,-1.62m,-179.98°,90°,0°,-2.56,8.743,1.617,270.02,270,0
569,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.29m,8.74m,-1.62m,-179.98°,90°,0°,-2.293,8.743,1.617,270.02,270,0
621,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.03m,8.74m,-1.62m,-179.98°,90°,0°,-2.033,8.743,1.617,270.02,270,0
673,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.02m,8.74m,-1.62m,-179.98°,90°,0°,-1.019,8.743,1.617,270.02,270,0
725,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
777,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
829,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
881,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.8m,8.74m,-1.62m,-179.98°,90°,0°,0.8,8.743,1.617,270.02,270,0
933,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.06m,8.74m,-1.62m,-179.98°,90°,0°,1.06,8.743,1.617,270.02,270,0
985,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.12m,8.74m,-1.62m,-179.98°,90°,0°,2.119,8.743,1.617,270.02,270,0
1037,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.39m,8.74m,-1.62m,-179.98°,90°,0°,2.386,8.743,1.617,270.02,270,0
1089,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.65m,8.74m,-1.62m,-179.98°,90°,0°,2.646,8.743,1.617,270.02,270,0
1141,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.56m,8.74m,-1.62m,-179.98°,90°,0°,3.56,8.743,1.617,270.02,270,0
1193,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.83m,8.74m,-1.62m,-179.98°,90°,0°,3.827,8.743,1.617,270.02,270,0
1245,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.09m,8.74m,-1.62m,-179.98°,90°,0°,4.087,8.743,1.617,270.02,270,0
1297,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.15m,8.74m,-1.62m,-179.98°,90°,0°,5.153,8.743,1.617,270.02,270,0
1349,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.42m,8.74m,-1.62m,-179.98°,90°,0°,5.42,8.743,1.617,270.02,270,0
1401,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.68m,8.74m,-1.62m,-179.98°,90°,0°,5.68,8.743,1.617,270.02,270,0
1453,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.67m,8.74m,-1.62m,-179.98°,90°,0°,6.668,8.743,1.617,270.02,270,0
1505,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.94m,8.74m,-1.62m,-179.98°,90°,0°,6.935,8.743,1.617,270.02,270,0
1557,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,7.2m,8.74m,-1.62m,-179.98°,90°,0°,7.195,8.743,1.617,270.02,270,0
50,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
102,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.9m,8.74m,-1.62m,-179.98°,90°,0°,-6.896,8.743,1.617,270.02,270,0
154,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.64m,8.74m,-1.62m,-179.98°,90°,0°,-6.636,8.743,1.617,270.02,270,0
206,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.65m,8.74m,-1.62m,-179.98°,90°,0°,-5.65,8.743,1.617,270.02,270,0
258,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.38m,8.74m,-1.62m,-179.98°,90°,0°,-5.383,8.743,1.617,270.02,270,0
310,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.12m,8.74m,-1.62m,-179.98°,90°,0°,-5.123,8.743,1.617,270.02,270,0
362,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.08m,8.74m,-1.62m,-179.98°,90°,0°,-4.084,8.743,1.617,270.02,270,0
414,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.82m,8.74m,-1.62m,-179.98°,90°,0°,-3.817,8.743,1.617,270.02,270,0
466,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.56m,8.74m,-1.62m,-179.98°,90°,0°,-3.557,8.743,1.617,270.02,270,0
518,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.56m,8.74m,-1.62m,-179.98°,90°,0°,-2.56,8.743,1.617,270.02,270,0
570,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.29m,8.74m,-1.62m,-179.98°,90°,0°,-2.293,8.743,1.617,270.02,270,0
622,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.03m,8.74m,-1.62m,-179.98°,90°,0°,-2.033,8.743,1.617,270.02,270,0
674,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.02m,8.74m,-1.62m,-179.98°,90°,0°,-1.019,8.743,1.617,270.02,270,0
726,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
778,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
830,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
882,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.8m,8.74m,-1.62m,-179.98°,90°,0°,0.8,8.743,1.617,270.02,270,0
934,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.06m,8.74m,-1.62m,-179.98°,90°,0°,1.06,8.743,1.617,270.02,270,0
986,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.12m,8.74m,-1.62m,-179.98°,90°,0°,2.119,8.743,1.617,270.02,270,0
1038,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.39m,8.74m,-1.62m,-179.98°,90°,0°,2.386,8.743,1.617,270.02,270,0
1090,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.65m,8.74m,-1.62m,-179.98°,90°,0°,2.646,8.743,1.617,270.02,270,0
1142,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.56m,8.74m,-1.62m,-179.98°,90°,0°,3.56,8.743,1.617,270.02,270,0
1194,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.83m,8.74m,-1.62m,-179.98°,90°,0°,3.827,8.743,1.617,270.02,270,0
1246,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.09m,8.74m,-1.62m,-179.98°,90°,0°,4.087,8.743,1.617,270.02,270,0
1298,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.15m,8.74m,-1.62m,-179.98°,90°,0°,5.153,8.743,1.617,270.02,270,0
1350,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.42m,8.74m,-1.62m,-179.98°,90°,0°,5.42,8.743,1.617,270.02,270,0
1402,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.68m,8.74m,-1.62m,-179.98°,90°,0°,5.68,8.743,1.617,270.02,270,0
1454,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.67m,8.74m,-1.62m,-179.98°,90°,0°,6.668,8.743,1.617,270.02,270,0
1506,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.94m,8.74m,-1.62m,-179.98°,90°,0°,6.935,8.743,1.617,270.02,270,0
1558,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,7.2m,8.74m,-1.62m,-179.98°,90°,0°,7.195,8.743,1.617,270.02,270,0
51,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.18m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-7.178,8.769,1.649,4.82,177.83,269.8
103,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.91m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-6.911,8.769,1.649,4.82,177.83,269.8
155,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.65m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-6.651,8.769,1.649,4.82,177.83,269.8
207,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.67m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.665,8.769,1.649,4.82,177.83,269.8
259,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.4m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.398,8.769,1.649,4.82,177.83,269.8
311,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.14m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.138,8.769,1.649,4.82,177.83,269.8
363,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.1m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-4.099,8.769,1.649,4.82,177.83,269.8
415,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.83m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-3.832,8.769,1.649,4.82,177.83,269.8
467,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.57m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-3.572,8.769,1.649,4.82,177.83,269.8
519,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.58m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.575,8.769,1.649,4.82,177.83,269.8
571,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.31m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.308,8.769,1.649,4.82,177.83,269.8
623,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.05m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.048,8.769,1.649,4.82,177.83,269.8
675,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.03m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-1.034,8.769,1.649,4.82,177.83,269.8
727,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.77m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-0.767,8.769,1.649,4.82,177.83,269.8
779,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.51m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-0.507,8.769,1.649,4.82,177.83,269.8
831,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.52m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,0.518,8.769,1.649,4.82,177.83,269.8
883,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.78m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,0.785,8.769,1.649,4.82,177.83,269.8
935,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.04m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,1.045,8.769,1.649,4.82,177.83,269.8
987,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.1m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.104,8.769,1.649,4.82,177.83,269.8
1039,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.37m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.371,8.769,1.649,4.82,177.83,269.8
1091,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.63m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.631,8.769,1.649,4.82,177.83,269.8
1143,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.54m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,3.545,8.769,1.649,4.82,177.83,269.8
1195,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.81m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,3.812,8.769,1.649,4.82,177.83,269.8
1247,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.07m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,4.072,8.769,1.649,4.82,177.83,269.8
1299,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.14m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.138,8.769,1.649,4.82,177.83,269.8
1351,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.4m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.405,8.769,1.649,4.82,177.83,269.8
1403,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.66m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.665,8.769,1.649,4.82,177.83,269.8
1455,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.65m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,6.653,8.769,1.649,4.82,177.83,269.8
1507,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.92m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,6.92,8.769,1.649,4.82,177.83,269.8
1559,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,7.18m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,7.18,8.769,1.649,4.82,177.83,269.8
52,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.17m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-7.171,8.775,1.649,4.82,177.83,269.8
104,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.9m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-6.904,8.775,1.649,4.82,177.83,269.8
156,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.64m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-6.644,8.775,1.649,4.82,177.83,269.8
208,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.66m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.658,8.775,1.649,4.82,177.83,269.8
260,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.39m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.391,8.775,1.649,4.82,177.83,269.8
312,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.13m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-5.131,8.775,1.649,4.82,177.83,269.8
364,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.09m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-4.092,8.775,1.649,4.82,177.83,269.8
416,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.83m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-3.825,8.775,1.649,4.82,177.83,269.8
468,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.57m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-3.565,8.775,1.649,4.82,177.83,269.8
520,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.57m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.568,8.775,1.649,4.82,177.83,269.8
572,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.3m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.301,8.775,1.649,4.82,177.83,269.8
624,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.04m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-2.041,8.775,1.649,4.82,177.83,269.8
676,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.03m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-1.027,8.775,1.649,4.82,177.83,269.8
728,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.76m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-0.76,8.775,1.649,4.82,177.83,269.8
780,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.5m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,-0.5,8.775,1.649,4.82,177.83,269.8
832,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.52m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,0.525,8.775,1.649,4.82,177.83,269.8
884,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.79m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,0.792,8.775,1.649,4.82,177.83,269.8
936,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.05m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,1.052,8.775,1.649,4.82,177.83,269.8
988,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.11m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.111,8.775,1.649,4.82,177.83,269.8
1040,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.38m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.378,8.775,1.649,4.82,177.83,269.8
1092,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,2.64m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,2.638,8.775,1.649,4.82,177.83,269.8
1144,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.55m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,3.552,8.775,1.649,4.82,177.83,269.8
1196,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,3.82m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,3.819,8.775,1.649,4.82,177.83,269.8
1248,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,4.08m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,4.079,8.775,1.649,4.82,177.83,269.8
1300,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.14m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.145,8.775,1.649,4.82,177.83,269.8
1352,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.41m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.412,8.775,1.649,4.82,177.83,269.8
1404,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,5.67m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,5.672,8.775,1.649,4.82,177.83,269.8
1456,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.66m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,6.66,8.775,1.649,4.82,177.83,269.8
1508,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,6.93m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,6.927,8.775,1.649,4.82,177.83,269.8
1560,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,7.19m,8.77m,-1.65m,-85.18°,-2.17°,-90.2°,7.187,8.775,1.649,4.82,177.83,269.8
53,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.69m,-179.97°,90°,0°,-7.16,8.742,1.685,270.03,270,0
105,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.89m,8.74m,-1.69m,-179.97°,90°,0°,-6.893,8.742,1.685,270.03,270,0
157,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.63m,8.74m,-1.69m,-179.97°,90°,0°,-6.633,8.742,1.685,270.03,270,0
209,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.65m,8.74m,-1.69m,-179.97°,90°,0°,-5.647,8.742,1.685,270.03,270,0
261,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.38m,8.74m,-1.69m,-179.97°,90°,0°,-5.38,8.742,1.685,270.03,270,0
313,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.12m,8.74m,-1.69m,-179.97°,90°,0°,-5.12,8.742,1.685,270.03,270,0
365,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.08m,8.74m,-1.69m,-179.97°,90°,0°,-4.081,8.742,1.685,270.03,270,0
417,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.81m,8.74m,-1.69m,-179.97°,90°,0°,-3.814,8.742,1.685,270.03,270,0
469,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.55m,8.74m,-1.69m,-179.97°,90°,0°,-3.554,8.742,1.685,270.03,270,0
521,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.56m,8.74m,-1.69m,-179.97°,90°,0°,-2.557,8.742,1.685,270.03,270,0
573,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.29m,8.74m,-1.69m,-179.97°,90°,0°,-2.29,8.742,1.685,270.03,270,0
625,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.03m,8.74m,-1.69m,-179.97°,90°,0°,-2.03,8.742,1.685,270.03,270,0
677,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.02m,8.74m,-1.69m,-179.97°,90°,0°,-1.016,8.742,1.685,270.03,270,0
729,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.69m,-179.97°,90°,0°,-0.749,8.742,1.685,270.03,270,0
781,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.69m,-179.97°,90°,0°,-0.489,8.742,1.685,270.03,270,0
833,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.54m,8.74m,-1.69m,-179.97°,90°,0°,0.536,8.742,1.685,270.03,270,0
